Run,Avg Acc,Avg F1,Avg Faith,Best Acc,Best F1,Best Faith,Best Index
24,0.174254403,0.29077108,0.983957957,0.733333333,0.846153846,0.769516587,11890
14,0.172177364,0.288133122,0.983370449,0.722222222,0.838709677,0.577775925,437
11,0.175776508,0.293190847,0.983833571,0.6875,0.814814815,0.007467985,12877
23,0.172898597,0.28911149,0.983994324,0.6875,0.814814815,0.470309436,1166
1,0.172502744,0.288607121,0.98401124,0.6875,0.814814815,0.760898769,12740
0,0.174603746,0.291439474,0.984548086,0.6875,0.814814815,0.822380647,9487
7,0.174795844,0.291793715,0.98344609,0.666666667,0.8,0.321336329,8920
6,0.174168734,0.290811728,0.983088541,0.666666667,0.8,0.786634535,11595
16,0.17266494,0.288713166,0.984512829,0.666666667,0.8,0.825449944,6756
12,0.173580469,0.289960099,0.984546441,0.666666667,0.8,0.844408572,6447
17,0.173147901,0.289537028,0.98397561,0.666666667,0.8,0.949779265,1421
21,0.174011183,0.290907983,0.984315305,0.647058823,0.785714286,0.428914547,6446
13,0.176014818,0.293565882,0.98259139,0.647058823,0.785714286,0.665320545,7624
9,0.175586723,0.293101401,0.984144339,0.642857143,0.782608696,0.113689542,12877
2,0.174623009,0.291783042,0.984343396,0.642857143,0.782608696,0.736393839,10103
3,0.176562255,0.294203561,0.984039154,0.642857143,0.782608696,0.870133013,609
8,0.17410768,0.290956535,0.98322074,0.625,0.769230769,0.672082782,12425
10,0.175645604,0.292863657,0.983571861,0.625,0.769230769,0.768105283,1119
5,0.17284299,0.289019269,0.984635755,0.625,0.769230769,0.895152695,3162
15,0.173430555,0.29011556,0.984271852,0.611111111,0.75862069,0.886452526,9007
4,0.174475558,0.291349373,0.983663805,0.6,0.75,0.946004458,5913
22,0.174853992,0.2919458,0.983051675,0.6,0.75,0.296329916,12877
18,0.171707912,0.287292364,0.984699577,0.6,0.75,0.581558049,9167
20,0.171441189,0.286896574,0.984092729,0.6,0.75,0.86079739,1802
19,0.173269676,0.289786324,0.983810289,0.6,0.75,0.886960171,10292
