Run,Avg Acc,Avg F1,Avg Faith,Best Acc,Best F1,Best Faith,Best Index
9,0.184906946,0.304855759,0.985477487,0.866666667,0.928571429,0.49081254,11189
19,0.18386112,0.302738358,0.985618801,0.866666667,0.928571429,0.717557877,11189
14,0.185498322,0.305559972,0.984110506,0.866666667,0.928571429,0.847251326,12129
1,0.183128072,0.302045612,0.985900068,0.823529412,0.903225806,0.258796394,11189
17,0.183935462,0.302957109,0.984009569,0.8,0.888888889,0.789547399,12129
23,0.182338728,0.301013586,0.98532974,0.777777778,0.875,0.486539841,10910
21,0.18451878,0.304233009,0.985520123,0.764705882,0.866666667,0.032785892,10910
7,0.182080101,0.300524671,0.984896213,0.764705882,0.866666667,0.193390131,9363
5,0.184990127,0.304761247,0.985450618,0.764705882,0.866666667,0.677504212,2330
10,0.18447738,0.304124182,0.98387581,0.764705882,0.866666667,0.938363552,69
4,0.184750931,0.30445378,0.986194454,0.75,0.857142857,0.718321323,10587
16,0.184460655,0.30419759,0.984244983,0.733333333,0.846153846,0.422630608,12652
18,0.186298758,0.306663658,0.985871933,0.714285714,0.833333333,0.979270151,8969
11,0.183634417,0.302742996,0.985565489,0.705882353,0.827586207,0.1031183,9363
0,0.184521772,0.304221026,0.984354306,0.705882353,0.827586207,0.542653829,7846
15,0.186059334,0.306064619,0.985910709,0.705882353,0.827586207,0.606721997,6051
20,0.18756455,0.308520161,0.98468777,0.6875,0.814814815,0.215939701,9363
24,0.184116603,0.303595912,0.985364765,0.684210526,0.8125,0.773282498,10945
13,0.185619518,0.305664672,0.984758166,0.666666667,0.8,0.262409091,11189
2,0.184972206,0.304628084,0.98457511,0.666666667,0.8,0.585686892,69
3,0.1867947,0.30729893,0.98574604,0.666666667,0.8,0.88936244,9384
8,0.186463092,0.306810382,0.985072231,0.666666667,0.8,0.031907022,12652
22,0.18597698,0.306128415,0.9854128,0.647058823,0.785714286,0.735602081,6242
6,0.185809547,0.305957121,0.985268956,0.647058823,0.785714286,0.822969288,8969
12,0.184357039,0.304176918,0.984684538,0.594594595,0.745762712,0.972255833,6122
