Beta Probability,GT,P1,P2,Run,Idx,Acc,F1
0.6253878,1,32,33,0,37,0.65,0.787878788
0.695805,1,32,34,0,37,0.65,0.787878788
0.6917209,0,32,12022,0,37,0.65,0.787878788
0.59576005,1,33,32,0,37,0.65,0.787878788
0.56736463,1,33,35,0,37,0.65,0.787878788
0.53057855,0,33,36,0,37,0.65,0.787878788
0.60313225,1,33,37,0,37,0.65,0.787878788
0.57365656,1,34,32,0,37,0.65,0.787878788
0.5523368,1,34,35,0,37,0.65,0.787878788
0.6088262,1,34,38,0,37,0.65,0.787878788
0.5230458,1,35,33,0,37,0.65,0.787878788
0.59990364,1,35,34,0,37,0.65,0.787878788
0.59467,1,35,38,0,37,0.65,0.787878788
0.5377084,0,36,33,0,37,0.65,0.787878788
0.5572726,0,36,7520,0,37,0.65,0.787878788
0.47770268,1,37,33,0,37,0.65,0.787878788
0.6713199,1,38,34,0,37,0.65,0.787878788
0.6161178,1,38,35,0,37,0.65,0.787878788
0.51146126,0,7520,36,0,37,0.65,0.787878788
0.5929805,0,12022,32,0,37,0.65,0.787878788
0.5460165,1,1065,1066,0,1069,0.48,0.648648649
0.53901935,1,1065,1067,0,1069,0.48,0.648648649
0.5840908,0,1065,1068,0,1069,0.48,0.648648649
0.5192837,1,1065,1069,0,1069,0.48,0.648648649
0.5545747,1,1066,1065,0,1069,0.48,0.648648649
0.5062687,1,1066,1070,0,1069,0.48,0.648648649
0.6953961,0,1066,1071,0,1069,0.48,0.648648649
0.5826712,0,1066,1238,0,1069,0.48,0.648648649
0.5826161,0,1066,7499,0,1069,0.48,0.648648649
0.5255142,1,1067,1065,0,1069,0.48,0.648648649
0.48904115,1,1067,1070,0,1069,0.48,0.648648649
0.4926201,1,1067,1072,0,1069,0.48,0.648648649
0.5399919,0,1067,1073,0,1069,0.48,0.648648649
0.48753917,0,1067,9958,0,1069,0.48,0.648648649
0.57416964,0,1068,1065,0,1069,0.48,0.648648649
0.5608781,1,1069,1065,0,1069,0.48,0.648648649
0.5435017,1,1070,1066,0,1069,0.48,0.648648649
0.539882,1,1070,1067,0,1069,0.48,0.648648649
0.5082626,1,1070,1072,0,1069,0.48,0.648648649
0.60847783,0,1071,1066,0,1069,0.48,0.648648649
0.54225737,1,1072,1067,0,1069,0.48,0.648648649
0.51088935,1,1072,1070,0,1069,0.48,0.648648649
0.5976595,0,1073,1067,0,1069,0.48,0.648648649
0.53512764,0,1238,1066,0,1069,0.48,0.648648649
0.6101614,0,7499,1066,0,1069,0.48,0.648648649
0.6135884,0,9958,1067,0,1069,0.48,0.648648649
0.58235765,1,1224,1225,0,1229,0.6,0.75
