GNN Probability,GT,P1,P2,Run,Idx,Acc,F1
0.49922046,1,32,33,0,37,0.3125,0.476190476
0.49664533,1,32,34,0,37,0.3125,0.476190476
0.49486646,0,32,12022,0,37,0.3125,0.476190476
0.49744383,1,33,32,0,37,0.3125,0.476190476
0.5057297,1,33,35,0,37,0.3125,0.476190476
0.50396204,0,33,36,0,37,0.3125,0.476190476
0.4947149,1,33,37,0,37,0.3125,0.476190476
0.5013016,1,34,32,0,37,0.3125,0.476190476
0.5001786,1,34,35,0,37,0.3125,0.476190476
0.50142217,1,34,38,0,37,0.3125,0.476190476
0.49319375,1,35,33,0,37,0.3125,0.476190476
0.49892828,1,35,34,0,37,0.3125,0.476190476
0.49835816,1,35,38,0,37,0.3125,0.476190476
0.4963106,0,36,33,0,37,0.3125,0.476190476
0.5026176,0,36,7520,0,37,0.3125,0.476190476
0.4995968,1,37,33,0,37,0.3125,0.476190476
0.5046043,1,38,34,0,37,0.3125,0.476190476
0.49634314,1,38,35,0,37,0.3125,0.476190476
0.49968514,0,7520,36,0,37,0.3125,0.476190476
0.49580583,0,12022,32,0,37,0.3125,0.476190476
0.5042227,1,1065,1066,0,1069,0.352941176,0.52173913
0.49332327,1,1065,1067,0,1069,0.352941176,0.52173913
0.49827072,0,1065,1068,0,1069,0.352941176,0.52173913
0.4982452,1,1065,1069,0,1069,0.352941176,0.52173913
0.49832183,1,1066,1065,0,1069,0.352941176,0.52173913
0.4957165,1,1066,1070,0,1069,0.352941176,0.52173913
0.5017408,0,1066,1071,0,1069,0.352941176,0.52173913
0.49797335,0,1066,1238,0,1069,0.352941176,0.52173913
0.50055575,0,1066,7499,0,1069,0.352941176,0.52173913
0.49929824,1,1067,1065,0,1069,0.352941176,0.52173913
0.501284,1,1067,1070,0,1069,0.352941176,0.52173913
0.50745094,1,1067,1072,0,1069,0.352941176,0.52173913
0.49786365,0,1067,1073,0,1069,0.352941176,0.52173913
0.5016934,0,1067,9958,0,1069,0.352941176,0.52173913
0.4990847,0,1068,1065,0,1069,0.352941176,0.52173913
0.4976165,1,1069,1065,0,1069,0.352941176,0.52173913
0.50391006,1,1070,1066,0,1069,0.352941176,0.52173913
0.49573198,1,1070,1067,0,1069,0.352941176,0.52173913
0.49716634,1,1070,1072,0,1069,0.352941176,0.52173913
0.49840212,0,1071,1066,0,1069,0.352941176,0.52173913
0.50066614,1,1072,1067,0,1069,0.352941176,0.52173913
0.50271374,1,1072,1070,0,1069,0.352941176,0.52173913
0.49692667,0,1073,1067,0,1069,0.352941176,0.52173913
0.49961704,0,1238,1066,0,1069,0.352941176,0.52173913
0.49648038,0,7499,1066,0,1069,0.352941176,0.52173913
0.49692237,0,9958,1067,0,1069,0.352941176,0.52173913
0.5000594,1,1224,1225,0,1229,0.444444444,0.615384615
0.501352,1,1224,1226,0,1229,0.444444444,0.615384615
0.50156176,0,1224,1227,0,1229,0.444444444,0.615384615
0.50042516,0,1224,7578,0,1229,0.444444444,0.615384615
0.5000085,0,1224,12679,0,1229,0.444444444,0.615384615
0.5005996,1,1225,1224,0,1229,0.444444444,0.615384615
0.50136214,1,1225,1228,0,1229,0.444444444,0.615384615
0.5007222,1,1225,1229,0,1229,0.444444444,0.615384615
0.5041859,1,1226,1224,0,1229,0.444444444,0.615384615
0.49369526,1,1226,1228,0,1229,0.444444444,0.615384615
0.4995746,1,1226,1230,0,1229,0.444444444,0.615384615
0.49888277,0,1227,1224,0,1229,0.444444444,0.615384615
0.49372354,1,1228,1225,0,1229,0.444444444,0.615384615
0.49749705,1,1228,1226,0,1229,0.444444444,0.615384615
0.49608594,1,1228,1230,0,1229,0.444444444,0.615384615
0.49745443,1,1229,1225,0,1229,0.444444444,0.615384615
0.50273645,1,1230,1226,0,1229,0.444444444,0.615384615
0.50226945,1,1230,1228,0,1229,0.444444444,0.615384615
0.49936292,0,7578,1224,0,1229,0.444444444,0.615384615
