GNN Probability,GT,P1,P2,Run,Idx,Acc,F1
0.50282073,1,702,703,0,715,0.526315789,0.689655172
0.50105,1,702,704,0,715,0.526315789,0.689655172
0.5002711,1,703,702,0,715,0.526315789,0.689655172
0.50094074,1,703,711,0,715,0.526315789,0.689655172
0.50428617,1,704,702,0,715,0.526315789,0.689655172
0.49693662,1,704,711,0,715,0.526315789,0.689655172
0.501779,1,704,712,0,715,0.526315789,0.689655172
0.5046168,0,704,713,0,715,0.526315789,0.689655172
0.50531536,0,704,6979,0,715,0.526315789,0.689655172
0.49630266,0,704,8933,0,715,0.526315789,0.689655172
0.5019486,1,711,703,0,715,0.526315789,0.689655172
0.50426143,1,711,704,0,715,0.526315789,0.689655172
0.49779794,1,711,712,0,715,0.526315789,0.689655172
0.49808812,0,711,714,0,715,0.526315789,0.689655172
0.49504915,0,711,6396,0,715,0.526315789,0.689655172
0.5013658,1,712,704,0,715,0.526315789,0.689655172
0.49499682,1,712,711,0,715,0.526315789,0.689655172
0.49559176,1,712,715,0,715,0.526315789,0.689655172
0.4968581,0,712,9740,0,715,0.526315789,0.689655172
0.4976857,0,713,704,0,715,0.526315789,0.689655172
0.49805236,0,714,711,0,715,0.526315789,0.689655172
0.50395346,1,715,712,0,715,0.526315789,0.689655172
0.50088876,0,6396,711,0,715,0.526315789,0.689655172
0.49558455,0,6979,704,0,715,0.526315789,0.689655172
0.49519143,0,8933,704,0,715,0.526315789,0.689655172
0.50272644,0,9739,9740,0,715,0.526315789,0.689655172
0.49709103,0,9740,712,0,715,0.526315789,0.689655172
0.5047891,0,9740,9739,0,715,0.526315789,0.689655172
0.4961812,0,9740,9743,0,715,0.526315789,0.689655172
0.4997898,0,9743,9740,0,715,0.526315789,0.689655172
0.4991418,1,1020,1021,0,1023,0.166666667,0.285714286
0.49861068,1,1020,1022,0,1023,0.166666667,0.285714286
0.49665534,1,1020,1023,0,1023,0.166666667,0.285714286
0.4994897,1,1021,1020,0,1023,0.166666667,0.285714286
0.49527222,1,1021,1024,0,1023,0.166666667,0.285714286
0.49833432,0,1021,4448,0,1023,0.166666667,0.285714286
0.49504775,1,1022,1020,0,1023,0.166666667,0.285714286
0.50100297,1,1022,1024,0,1023,0.166666667,0.285714286
0.4993508,1,1022,1025,0,1023,0.166666667,0.285714286
0.5013374,0,1022,1026,0,1023,0.166666667,0.285714286
0.4962592,0,1022,1027,0,1023,0.166666667,0.285714286
0.4989129,0,1022,9806,0,1023,0.166666667,0.285714286
0.4995031,1,1023,1020,0,1023,0.166666667,0.285714286
0.49476576,1,1024,1021,0,1023,0.166666667,0.285714286
0.50015026,1,1024,1022,0,1023,0.166666667,0.285714286
0.49800125,1,1024,1025,0,1023,0.166666667,0.285714286
0.49597818,1,1025,1022,0,1023,0.166666667,0.285714286
0.5034079,1,1025,1024,0,1023,0.166666667,0.285714286
0.5038486,0,1026,1022,0,1023,0.166666667,0.285714286
0.5023366,0,1027,1022,0,1023,0.166666667,0.285714286
0.4933961,0,4448,1021,0,1023,0.166666667,0.285714286
0.5017385,0,9806,1022,0,1023,0.166666667,0.285714286
0.50056326,0,171,2356,0,2365,0.206896552,0.342857143
0.49679205,0,952,2357,0,2365,0.206896552,0.342857143
0.49813262,1,2354,2355,0,2365,0.206896552,0.342857143
