Run,Avg Acc,Avg F1,Avg Faith,Best Acc,Best F1,Best Faith,Best Index
14,0.176812762,0.294483459,0.980613013,0.857142857,0.923076923,0.254729986,8722
2,0.177051364,0.294948551,0.980776198,0.733333333,0.846153846,0.599256396,9742
18,0.177004751,0.294764313,0.980839773,0.714285714,0.833333333,0.433519542,9742
8,0.176348397,0.293741874,0.980877012,0.714285714,0.833333333,0.581569582,11895
24,0.177682847,0.295732485,0.981049115,0.705882353,0.827586207,0.588261127,9191
20,0.178977924,0.297412005,0.981163892,0.666666667,0.8,0.573850423,4264
5,0.177916226,0.295910086,0.980575704,0.666666667,0.8,0.646015644,715
16,0.175665412,0.292838884,0.98132055,0.666666667,0.8,0.800525934,9035
13,0.177812796,0.295852289,0.980777029,0.666666667,0.8,0.833531126,9035
0,0.180327632,0.29940429,0.980135665,0.666666667,0.8,0.949931957,6192
9,0.177328637,0.295341512,0.98031111,0.647058823,0.785714286,0.776798517,9035
1,0.176149895,0.29373358,0.981539558,0.642857143,0.782608696,0.263878882,11672
21,0.177977195,0.296045599,0.980823456,0.631578947,0.774193548,0.603772104,12826
3,0.177624043,0.295777845,0.980249408,0.625,0.769230769,0.757793605,5671
19,0.175775916,0.293004948,0.979989891,0.625,0.769230769,0.779882312,13081
4,0.176397784,0.294017887,0.980356273,0.625,0.769230769,0.995714058,7957
15,0.17433128,0.291216002,0.981465908,0.611111111,0.75862069,0.862784162,10982
12,0.175049098,0.291965978,0.980938203,0.6,0.75,0.98509384,2365
6,0.174697589,0.291549633,0.979995228,0.588235294,0.740740741,0.59855479,7919
17,0.176520776,0.294086673,0.980344752,0.588235294,0.740740741,0.911963172,6135
10,0.17459563,0.291387172,0.9811958,0.588235294,0.740740741,0.92181509,1023
11,0.176544419,0.294183216,0.981777179,0.588235294,0.740740741,0.935546242,12791
22,0.17499797,0.292017764,0.980788544,0.578947368,0.733333333,0.836091802,5175
7,0.176565599,0.294209177,0.979910849,0.571428571,0.727272727,0.901905112,11160
23,0.175968833,0.293491827,0.980032209,0.571428571,0.727272727,0.670865744,12035
