Run,Avg Acc,Avg F1,Avg Faith,Best Acc,Best F1,Best Faith,Best Index
5,0.186568478,0.307050961,0.977456884,0.8125,0.896551724,0.257236183,4197
13,0.187960766,0.308842161,0.97562211,0.8125,0.896551724,0.351944447,10103
18,0.18413491,0.303543883,0.976861936,0.8125,0.896551724,0.40553236,10104
11,0.183375222,0.302468325,0.978038412,0.8,0.888888889,0.607843846,10104
14,0.185274721,0.305094053,0.976813629,0.8,0.888888889,0.622821271,11311
15,0.184520682,0.303989439,0.977596078,0.777777778,0.875,0.108510017,1803
12,0.187037269,0.307308231,0.977962529,0.777777778,0.875,0.752879426,8455
8,0.18279443,0.301523468,0.97798353,0.764705882,0.866666667,0.076275051,12541
16,0.18522251,0.304937974,0.977640771,0.764705882,0.866666667,0.486176014,11890
0,0.184051015,0.303513472,0.978737901,0.764705882,0.866666667,0.722386003,2716
1,0.185069975,0.3048145,0.978523448,0.75,0.857142857,0.108483791,12541
7,0.18557031,0.305418725,0.976692047,0.75,0.857142857,0.694850296,12877
24,0.185208559,0.304881465,0.978188259,0.736842105,0.848484848,0.021225214,1803
21,0.18701468,0.3076973,0.976561557,0.736842105,0.848484848,0.768960744,3162
19,0.186581742,0.306955269,0.978106573,0.733333333,0.846153846,0.625123501,10103
10,0.186408389,0.306702529,0.977659366,0.733333333,0.846153846,0.738178968,2491
9,0.182953504,0.301509527,0.978007835,0.722222222,0.838709677,0.307063341,13005
3,0.182976669,0.301729474,0.979029067,0.714285714,0.833333333,0.241361856,4197
2,0.184831906,0.304323515,0.979131147,0.705882353,0.827586207,0.842422381,6067
23,0.185616683,0.305413646,0.978870325,0.705882353,0.827586207,0.883926652,11195
20,0.183766373,0.303145402,0.976832548,0.6875,0.814814815,0.542247087,12425
4,0.186976686,0.307668868,0.978304729,0.6875,0.814814815,0.78250058,12740
17,0.183599808,0.302874235,0.978560812,0.6875,0.814814815,0.811409608,10570
22,0.184170814,0.303825323,0.979491545,0.647058823,0.785714286,0.807206959,11890
6,0.183731409,0.303109751,0.978238893,0.6,0.75,0.873651892,4482
