Beta Probability,GT,P1,P2,Run,Idx,Acc,F1
0.5118241,1,64,65,0,69,0.388888889,0.56
0.46301195,1,64,66,0,69,0.388888889,0.56
0.4496521,0,64,67,0,69,0.388888889,0.56
0.5370774,1,65,64,0,69,0.388888889,0.56
0.48378292,1,65,68,0,69,0.388888889,0.56
0.5359291,1,65,69,0,69,0.388888889,0.56
0.5431913,1,66,64,0,69,0.388888889,0.56
0.47423467,1,66,68,0,69,0.388888889,0.56
0.44018203,1,66,70,0,69,0.388888889,0.56
0.5577934,0,67,64,0,69,0.388888889,0.56
0.5530627,1,68,65,0,69,0.388888889,0.56
0.5052848,1,68,66,0,69,0.388888889,0.56
0.46992305,1,68,70,0,69,0.388888889,0.56
0.51264006,0,68,72,0,69,0.388888889,0.56
0.49255127,0,68,8329,0,69,0.388888889,0.56
0.5043901,1,69,65,0,69,0.388888889,0.56
0.47309992,1,70,66,0,69,0.388888889,0.56
0.46580088,1,70,68,0,69,0.388888889,0.56
0.55836225,0,72,68,0,69,0.388888889,0.56
0.5278158,0,8329,68,0,69,0.388888889,0.56
0.49893504,0,373,1168,0,1174,0.375,0.545454545
0.55237603,1,1163,1164,0,1174,0.375,0.545454545
0.5357997,1,1163,1165,0,1174,0.375,0.545454545
0.5778648,0,1163,1166,0,1174,0.375,0.545454545
0.49341646,0,1163,1167,0,1174,0.375,0.545454545
0.5176069,1,1164,1163,0,1174,0.375,0.545454545
0.5298567,1,1164,1168,0,1174,0.375,0.545454545
0.4653539,1,1165,1163,0,1174,0.375,0.545454545
0.47445634,1,1165,1168,0,1174,0.375,0.545454545
0.4818623,1,1165,1173,0,1174,0.375,0.545454545
0.43117964,1,1165,1174,0,1174,0.375,0.545454545
0.4240644,0,1165,5951,0,1174,0.375,0.545454545
0.5390576,0,1166,1163,0,1174,0.375,0.545454545
0.57224256,0,1167,1163,0,1174,0.375,0.545454545
0.5362499,0,1168,373,0,1174,0.375,0.545454545
0.51102453,1,1168,1164,0,1174,0.375,0.545454545
0.49687934,1,1168,1165,0,1174,0.375,0.545454545
0.5006009,1,1168,1173,0,1174,0.375,0.545454545
0.41799316,0,1168,1175,0,1174,0.375,0.545454545
0.47895855,0,1168,1176,0,1174,0.375,0.545454545
0.51340926,0,1168,10345,0,1174,0.375,0.545454545
0.5129785,1,1173,1165,0,1174,0.375,0.545454545
0.50760365,1,1173,1168,0,1174,0.375,0.545454545
0.50181353,0,1173,9800,0,1174,0.375,0.545454545
0.55754596,1,1174,1165,0,1174,0.375,0.545454545
0.45634243,0,1175,1168,0,1174,0.375,0.545454545
0.48530343,0,1176,1168,0,1174,0.375,0.545454545
0.42900532,0,5943,5951,0,1174,0.375,0.545454545
0.5908209,0,5951,1165,0,1174,0.375,0.545454545
0.5963039,0,5951,5943,0,1174,0.375,0.545454545
0.5384646,0,9800,1173,0,1174,0.375,0.545454545
0.5509561,0,10345,1168,0,1174,0.375,0.545454545
0.48727417,1,1230,1231,0,1240,0.1,0.181818182
0.47989887,1,1230,1232,0,1240,0.1,0.181818182
0.5617531,1,1231,1230,0,1240,0.1,0.181818182
0.5284157,1,1231,1236,0,1240,0.1,0.181818182
0.45217565,1,1232,1230,0,1240,0.1,0.181818182
0.41024542,1,1232,1236,0,1240,0.1,0.181818182
0.4649851,1,1232,1237,0,1240,0.1,0.181818182
0.51535064,0,1232,1238,0,1240,0.1,0.181818182
0.4254132,0,1232,1239,0,1240,0.1,0.181818182
0.471058,1,1236,1231,0,1240,0.1,0.181818182
0.45555633,1,1236,1232,0,1240,0.1,0.181818182
0.48994642,1,1236,1237,0,1240,0.1,0.181818182
0.43459204,1,1236,1240,0,1240,0.1,0.181818182
0.46440756,0,1236,1241,0,1240,0.1,0.181818182
0.49912906,1,1237,1232,0,1240,0.1,0.181818182
0.4717918,1,1237,1236,0,1240,0.1,0.181818182
0.54498476,0,1237,1242,0,1240,0.1,0.181818182
0.5155468,0,1237,3765,0,1240,0.1,0.181818182
0.3954186,0,1238,1232,0,1240,0.1,0.181818182
0.50922704,0,1239,1232,0,1240,0.1,0.181818182
0.34860688,1,1240,1236,0,1240,0.1,0.181818182
0.43438217,0,1241,1236,0,1240,0.1,0.181818182
0.43701693,0,1241,9597,0,1240,0.1,0.181818182
0.49999648,0,1242,1237,0,1240,0.1,0.181818182
0.5567452,0,3765,1237,0,1240,0.1,0.181818182
0.5481004,0,9597,1241,0,1240,0.1,0.181818182
0.4582687,1,2325,2326,0,2330,0.315789474,0.48
0.49551478,1,2325,2327,0,2330,0.315789474,0.48
0.53860134,0,2325,2328,0,2330,0.315789474,0.48
0.55985296,0,2325,8467,0,2330,0.315789474,0.48
0.49904594,1,2326,2325,0,2330,0.315789474,0.48
0.5055118,1,2326,2329,0,2330,0.315789474,0.48
0.47208726,1,2326,2330,0,2330,0.315789474,0.48
0.5760118,1,2327,2325,0,2330,0.315789474,0.48
0.57439846,1,2327,2329,0,2330,0.315789474,0.48
0.5624518,1,2327,2331,0,2330,0.315789474,0.48
0.4981649,0,2328,2325,0,2330,0.315789474,0.48
0.41537333,1,2329,2326,0,2330,0.315789474,0.48
0.4564463,1,2329,2327,0,2330,0.315789474,0.48
0.48338735,1,2329,2331,0,2330,0.315789474,0.48
0.39854273,0,2329,2334,0,2330,0.315789474,0.48
0.44740668,0,2329,2335,0,2330,0.315789474,0.48
0.46202666,1,2330,2326,0,2330,0.315789474,0.48
0.507305,1,2331,2327,0,2330,0.315789474,0.48
0.5435125,1,2331,2329,0,2330,0.315789474,0.48
0.5080073,0,2334,2329,0,2330,0.315789474,0.48
0.5528519,0,2335,2329,0,2330,0.315789474,0.48
0.59823376,0,8467,2325,0,2330,0.315789474,0.48
