Run,Avg Acc,Avg F1,Avg Faith,Best Acc,Best F1,Best Faith,Best Index
1,0.231286048,0.367827997,0.542609263,0.933333333,0.965517241,0.343899131,11002
23,0.23078212,0.367049889,0.520366461,0.933333333,0.965517241,0.343899131,11002
9,0.23227566,0.368964423,0.526047775,0.933333333,0.965517241,0.589807779,11002
6,0.23214825,0.368882311,0.540572978,0.933333333,0.965517241,0.667534024,10484
13,0.232097647,0.368747854,0.508746099,0.933333333,0.965517241,0.667534024,10484
14,0.232366624,0.369100387,0.511339766,0.933333333,0.965517241,0.667534024,10484
0,0.231284475,0.367728624,0.525929194,0.875,0.933333333,-1.19E-07,11002
2,0.232187713,0.368937792,0.528002903,0.875,0.933333333,-1.19E-07,10484
5,0.231170635,0.367655334,0.517326285,0.875,0.933333333,-1.19E-07,11002
7,0.23181851,0.368496281,0.553201909,0.875,0.933333333,-1.19E-07,10551
8,0.231812834,0.368484047,0.52702269,0.875,0.933333333,-1.19E-07,11002
10,0.231156137,0.367616693,0.519923251,0.875,0.933333333,-1.19E-07,11002
11,0.230536008,0.366871043,0.522730991,0.875,0.933333333,-1.19E-07,11002
12,0.232256598,0.369023018,0.538199305,0.875,0.933333333,-1.19E-07,10551
15,0.23136349,0.367858885,0.532501958,0.875,0.933333333,-1.19E-07,10484
16,0.231019196,0.36744645,0.543875545,0.875,0.933333333,-1.19E-07,10551
17,0.231092875,0.367535847,0.536000589,0.875,0.933333333,-1.19E-07,11002
18,0.231739838,0.368365236,0.535625494,0.875,0.933333333,-1.19E-07,10551
19,0.230988565,0.367391813,0.540348392,0.875,0.933333333,-1.19E-07,11002
21,0.231366088,0.367872761,0.525513418,0.875,0.933333333,-1.19E-07,11002
22,0.231718287,0.368296945,0.534479964,0.875,0.933333333,-1.19E-07,10551
24,0.230739551,0.367050627,0.526546634,0.875,0.933333333,-1.19E-07,10551
3,0.231882217,0.368582632,0.524716111,0.823529412,0.903225806,0.20567745,5661
20,0.231260461,0.36774454,0.533891197,0.8125,0.896551724,0.006407797,11002
4,0.230622128,0.366957037,0.530329027,0.777777778,0.875,-1.19E-07,11280
