P1,P2,Probability,GT
2075,2080,0,0
2080,2075,0,0
2080,8817,0,0
2080,8961,0,0
3689,10576,0,0
3712,8969,0,0
5265,8958,0,0
8817,2080,0,0
8957,8958,0,1
8957,8959,0,1
8958,5265,0,0
8958,8957,0,1
8958,8961,1,1
8959,8957,0,1
8959,8961,1,1
8959,8962,1,1
8959,8963,0,0
8959,8964,0,0
8959,9117,0,0
8959,13204,0,0
8961,2080,0,0
8961,8958,1,1
8961,8959,1,1
8961,8962,1,1
8961,8965,1,1
8961,8966,1,0
8961,8967,1,0
8961,8968,1,0
8961,8969,0,0
8961,10019,0,0
8961,10576,0,0
8962,8959,1,1
8962,8961,1,1
8963,8959,0,0
8964,8959,0,0
8965,8961,1,1
8966,8961,1,0
8967,8961,1,0
8968,8961,1,0
8968,12867,0,0
8969,3712,0,0
8969,8961,0,0
9117,8959,0,0
10013,10019,0,0
10019,8961,0,0
10019,10013,0,0
10574,10576,0,0
10576,3689,0,0
10576,8961,0,0
10576,10574,0,0
10576,10578,0,0
10576,10580,0,0
10576,12688,0,0
10578,10576,0,0
10578,10580,0,0
10580,10576,0,0
10580,10578,0,0
12688,10576,0,0
12867,8968,0,0
13204,8959,0,0
