Seed,Accuracy,Precision,Recall,F1,Unfaithfulness
47446,0.75,0.857142857,0.857142857,0.857142857,0.850481912
7237,0.75,0.857142857,0.857142857,0.857142857,0.850481912
94278,0.75,0.857142857,0.857142857,0.857142857,0.850481912
62327,0.75,0.857142857,0.857142857,0.857142857,0.850481912
18233,0.75,0.857142857,0.857142857,0.857142857,0.850481912
23592,0.75,0.857142857,0.857142857,0.857142857,0.850481912
5371,0.75,0.857142857,0.857142857,0.857142857,0.850481912
43572,0.75,0.857142857,0.857142857,0.857142857,0.850481912
18466,0.75,0.857142857,0.857142857,0.857142857,0.850481912
73943,0.857142857,1,0.857142857,0.923076923,0.916102037
