P1,P2,Probability,GT
127,128,0,0
128,127,0,0
128,131,0,0
128,4967,0,0
131,128,0,0
319,326,0,0
326,319,0,0
326,10610,0,0
366,369,0,0
369,366,0,0
369,10610,1,0
1706,4964,0,0
1761,3331,0,0
1958,10613,0,0
2008,3397,0,0
2747,10608,0,0
3260,10609,0,0
3329,3331,0,0
3331,1761,0,0
3331,3329,0,0
3331,3332,0,0
3331,3333,0,0
3331,3334,0,0
3331,3335,0,0
3331,3336,0,0
3331,3337,0,0
3331,3398,0,0
3332,3331,0,0
3332,3333,0,0
3333,3331,0,0
3333,3332,0,0
3334,3331,0,0
3335,3331,0,0
3336,3331,0,0
3337,3331,0,0
3397,2008,0,0
3397,3398,1,1
3397,3399,0,1
3397,3400,0,0
3397,11622,0,0
3398,3331,0,0
3398,3397,1,1
3398,3401,0,1
3398,3402,0,0
3398,3403,1,1
3398,7657,0,0
3398,11235,0,0
3399,3397,0,1
3399,3401,0,1
3399,3404,0,1
3400,3397,0,0
3401,3398,0,1
3401,3399,0,1
3401,3404,0,1
3401,9077,0,0
3402,3398,0,0
3402,8248,0,0
3402,11810,0,0
3403,3398,1,1
3403,4967,1,0
3403,10610,1,1
3404,3399,0,1
3404,3401,0,1
4327,10614,0,0
4919,10608,0,0
4964,1706,0,0
4964,4965,0,0
4964,4966,0,0
4964,4967,0,0
4964,4968,0,0
4964,4969,0,0
4965,4964,0,0
4966,4964,0,0
4967,128,0,0
4967,3403,1,0
4967,4964,0,0
4967,12173,0,0
4968,4964,0,0
4969,4964,0,0
5334,10609,0,0
6474,10615,0,0
6867,6872,0,0
6872,6867,0,0
6872,10610,0,0
7142,10615,0,0
7653,7657,0,0
7657,3398,0,0
7657,7653,0,0
7969,11651,0,0
8248,3402,0,0
8504,10608,0,0
9077,3401,0,0
9207,9214,0,0
9214,9207,0,0
9214,10610,1,0
9512,10615,0,0
9871,9876,0,0
9876,9871,0,0
9876,10610,0,0
10080,10608,0,0
10607,10608,0,1
10607,10609,0,1
10608,2747,0,0
10608,4919,0,0
10608,8504,0,0
10608,10080,0,0
10608,10607,0,1
10608,10610,1,1
10608,10611,0,0
10608,10612,0,0
10608,12102,0,0
10609,3260,0,0
10609,5334,0,0
10609,10607,0,1
10609,10610,1,1
10609,10613,1,1
10610,326,0,0
10610,369,1,0
10610,3403,1,1
10610,6872,0,0
10610,9214,1,0
10610,9876,0,0
10610,10608,1,1
10610,10609,1,1
10610,10613,1,1
10610,10614,1,0
10610,10615,1,0
10610,11651,0,0
10611,10608,0,0
10612,10608,0,0
10613,1958,0,0
10613,10609,1,1
10613,10610,1,1
10614,4327,0,0
10614,10610,1,0
10614,12113,0,0
10615,6474,0,0
10615,7142,0,0
10615,9512,0,0
10615,10610,1,0
10615,13185,0,0
11229,11235,0,0
11235,3398,0,0
11235,11229,0,0
11622,3397,0,0
11650,11651,0,0
11651,7969,0,0
11651,10610,0,0
11651,11650,0,0
11651,11654,0,0
11654,11651,0,0
11810,3402,0,0
12102,10608,0,0
12113,10614,0,0
12168,12173,0,0
12173,4967,0,0
12173,12168,0,0
13185,10615,0,0
