Seed,Accuracy,Precision,Recall,F1 Score,Unfaithfulness
56293,0.75,0.857142857,0.857142857,0.857142857,0.656980902
50918,0.75,0.857142857,0.857142857,0.857142857,0.656980902
75429,0.75,0.857142857,0.857142857,0.857142857,0.656980902
81561,0.75,0.857142857,0.857142857,0.857142857,0.656980902
40842,0.75,0.857142857,0.857142857,0.857142857,0.656980902
15511,0.75,0.857142857,0.857142857,0.857142857,0.656980902
68368,0.75,0.857142857,0.857142857,0.857142857,0.656980902
41262,0.75,0.857142857,0.857142857,0.857142857,0.656980902
54635,0.75,0.857142857,0.857142857,0.857142857,0.656980902
62406,0.75,0.857142857,0.857142857,0.857142857,0.656980902
