Avg Acc,Avg Prec,Avg Rec,Best Acc,Best Prec,Best Rec,Avg Faith,Best Faith,Alpha,Beta,Run,LR,IDX
0.231614162,0.234656022,0.953810128,0.933333333,0.933333333,1,0.472842269,0.003465593,0.8,0.6,15,0.05,12859
0.230659573,0.233730835,0.953089545,0.875,0.875,1,0.449590934,-1.19E-07,0.8,0.6,0,0.05,12859
0.231302709,0.234491098,0.951876052,0.875,0.875,1,0.481561375,-1.19E-07,0.8,0.6,1,0.05,12859
0.232387122,0.235315121,0.956107857,0.875,0.875,1,0.477906488,-1.19E-07,0.8,0.6,4,0.05,12859
0.231601089,0.234492609,0.955541204,0.875,0.875,1,0.454477181,-1.19E-07,0.8,0.6,8,0.05,12859
0.231544684,0.234652943,0.952731298,0.875,0.875,1,0.468378521,-1.19E-07,0.8,0.6,10,0.05,12859
0.232206237,0.234960892,0.959064,0.875,0.875,1,0.449408676,-1.19E-07,0.8,0.6,13,0.05,12859
0.231696985,0.234616705,0.955523393,0.875,0.875,1,0.448846358,-1.19E-07,0.8,0.6,14,0.05,12859
0.231227003,0.234284879,0.953442109,0.875,0.875,1,0.451276546,-1.19E-07,0.8,0.6,19,0.05,12859
0.231247058,0.23424602,0.953870979,0.875,0.875,1,0.457470548,-1.19E-07,0.8,0.6,22,0.05,12859
0.231822245,0.234839361,0.954653939,0.823529412,0.823529412,1,0.462594701,0.003826261,0.8,0.6,2,0.05,10734
0.231199727,0.234272087,0.952946496,0.823529412,0.823529412,1,0.454474094,0.022177637,0.8,0.6,11,0.05,80
0.230994602,0.23433033,0.949223611,0.823529412,0.823529412,1,0.480638561,0.260770559,0.8,0.6,9,0.05,6080
0.232401213,0.23513924,0.957777874,0.823529412,0.823529412,1,0.452986687,0.58637467,0.8,0.6,20,0.05,10734
0.232567301,0.235282757,0.958377863,0.777777778,0.777777778,1,0.461273384,-1.19E-07,0.8,0.6,3,0.05,6080
0.231676109,0.234738716,0.953671584,0.777777778,0.777777778,1,0.474192243,-1.19E-07,0.8,0.6,16,0.05,10734
0.23172307,0.234798371,0.954017009,0.777777778,0.777777778,1,0.478775869,-1.19E-07,0.8,0.6,24,0.05,11180
0.231412419,0.234447933,0.954015138,0.777777778,0.777777778,1,0.457328393,0.045915723,0.8,0.6,5,0.05,12937
0.231705635,0.234543401,0.957223835,0.7,0.7,1,0.442480833,-1.19E-07,0.8,0.6,12,0.05,4555
0.231133475,0.234133809,0.954455028,0.7,0.7,1,0.439666568,-1.19E-07,0.8,0.6,23,0.05,4555
0.23139699,0.234490288,0.952771912,0.7,0.7,1,0.461647037,-1.19E-07,0.8,0.6,21,0.05,13112
0.231485688,0.234600369,0.952508269,0.651162791,0.651162791,1,0.469465345,0.077422321,0.8,0.6,17,0.05,6839
0.231296019,0.234415646,0.951835646,0.636363636,0.636363636,1,0.455742241,-1.19E-07,0.8,0.6,7,0.05,6839
0.231979414,0.235045297,0.953606089,0.636363636,0.636363636,1,0.480783606,0.327821195,0.8,0.6,18,0.05,6886
0.232234276,0.235081515,0.955975758,0.595744681,0.595744681,1,0.468532382,0.292953551,0.8,0.6,6,0.05,10531
