GT,Edge Probability,Category
1,0.6167608,True Positive
1,0.56960624,True Positive
1,0.57112175,True Positive
1,0.6393826,True Positive
1,0.61332,True Positive
1,0.6393134,True Positive
1,0.6126011,True Positive
1,0.63478607,True Positive
0,0.7115914,False Positive
1,0.5904957,True Positive
1,0.64495707,True Positive
1,0.6070601,True Positive
1,0.5732019,True Positive
1,0.6242897,True Positive
1,0.5711,True Positive
0,0.5792433,False Positive
1,0.63471824,True Positive
1,0.5809952,True Positive
1,0.60499895,True Positive
1,0.5809661,True Positive
1,0.5345465,True Positive
1,0.6458863,True Positive
1,0.59432775,True Positive
1,0.63376737,True Positive
0,0.5892671,False Positive
1,0.556061,True Positive
1,0.63233894,True Positive
1,0.58129406,True Positive
1,0.5950056,True Positive
1,0.59424525,True Positive
1,0.57113063,True Positive
0,0.5239085,False Positive
1,0.6080121,True Positive
1,0.5882516,True Positive
0,0.6897249,False Positive
1,0.60785496,True Positive
1,0.5258436,True Positive
1,0.7094836,True Positive
1,0.58897763,True Positive
1,0.5093521,True Positive
1,0.5709837,True Positive
0,0.6203955,False Positive
1,0.6051203,True Positive
1,0.584213,True Positive
1,0.578793,True Positive
0,0.625601,False Positive
1,0.56800234,True Positive
1,0.6104492,True Positive
1,0.5479403,True Positive
0,0.49307412,False Positive
1,0.55170417,True Positive
1,0.56472844,True Positive
1,0.54239213,True Positive
1,0.5489589,True Positive
1,0.59552056,True Positive
1,0.57152724,True Positive
1,0.58059365,True Positive
1,0.64885974,True Positive
1,0.6181454,True Positive
1,0.62566954,True Positive
1,0.6557135,True Positive
0,0.59560865,False Positive
0,0.6088099,False Positive
1,0.512507,True Positive
1,0.6087933,True Positive
1,0.56821835,True Positive
0,0.53194696,False Positive
0,0.5322051,False Positive
1,0.56272906,True Positive
1,0.5756845,True Positive
1,0.69842345,True Positive
1,0.63416016,True Positive
1,0.61263853,True Positive
1,0.6229352,True Positive
1,0.5990696,True Positive
1,0.5397462,True Positive
0,0.578277,False Positive
1,0.62012166,True Positive
1,0.5418043,True Positive
1,0.5567125,True Positive
1,0.5399443,True Positive
1,0.5657423,True Positive
1,0.60113835,True Positive
0,0.535481,False Positive
0,0.49990302,False Positive
1,0.63008875,True Positive
1,0.6045497,True Positive
0,0.58541864,False Positive
1,0.6195456,True Positive
1,0.58545786,True Positive
1,0.6318259,True Positive
1,0.5707966,True Positive
1,0.53766924,True Positive
1,0.57919455,True Positive
0,0.599403,False Positive
0,0.5995042,False Positive
1,0.6399327,True Positive
1,0.6044845,True Positive
1,0.5945111,True Positive
0,0.64315,False Positive
1,0.6509296,True Positive
1,0.59246325,True Positive
1,0.5244163,True Positive
0,0.3753166,False Positive
0,0.55107576,False Positive
0,0.5570786,False Positive
0,0.57749397,False Positive
0,0.5344904,False Positive
1,0.64244777,True Positive
1,0.5691828,True Positive
0,0.5032188,False Positive
0,0.5320493,False Positive
1,0.520673,True Positive
1,0.53939295,True Positive
1,0.5126999,True Positive
1,0.60221475,True Positive
1,0.6219993,True Positive
1,0.594241,True Positive
0,0.5302417,False Positive
0,0.61831707,False Positive
1,0.70150393,True Positive
1,0.64154834,True Positive
1,0.5979637,True Positive
1,0.61828375,True Positive
1,0.6014727,True Positive
1,0.61991286,True Positive
1,0.57586807,True Positive
1,0.5737152,True Positive
1,0.5767497,True Positive
0,0.51823574,False Positive
0,0.54471374,False Positive
1,0.5337331,True Positive
1,0.531004,True Positive
1,0.511081,True Positive
0,0.5673806,False Positive
0,0.547967,False Positive
0,0.5951232,False Positive
0,0.4871017,False Positive
0,0.5544796,False Positive
1,0.5750782,True Positive
1,0.5202024,True Positive
1,0.52693725,True Positive
0,0.55332714,False Positive
1,0.58937293,True Positive
1,0.6127736,True Positive
1,0.60119236,True Positive
0,0.5490291,False Positive
0,0.55494446,False Positive
0,0.48042563,False Positive
