GT,Edge Probability,Category
0,0.5516805,False Positive
0,0.5513541,False Positive
1,0.5952082,True Positive
1,0.5540782,True Positive
1,0.5911426,True Positive
0,0.5874954,False Positive
0,0.66821915,False Positive
1,0.5561886,True Positive
1,0.59908485,True Positive
1,0.538843,True Positive
1,0.57621276,True Positive
1,0.5732555,True Positive
1,0.52701026,True Positive
1,0.5796991,True Positive
1,0.5330135,True Positive
1,0.5476792,True Positive
1,0.56756455,True Positive
1,0.5805386,True Positive
0,0.5639136,False Positive
0,0.5192727,False Positive
0,0.5663732,False Positive
0,0.60354143,False Positive
0,0.58587986,False Positive
0,0.5974204,False Positive
0,0.5797006,False Positive
0,0.54725564,False Positive
0,0.5563569,False Positive
1,0.52763695,True Positive
1,0.54941726,True Positive
1,0.5383807,True Positive
1,0.531654,True Positive
1,0.5080003,True Positive
0,0.5305258,False Positive
0,0.44354296,False Positive
0,0.46512306,False Positive
1,0.5748364,True Positive
1,0.543756,True Positive
1,0.54749846,True Positive
0,0.5109891,False Positive
0,0.6167219,False Positive
1,0.5125544,True Positive
1,0.5310074,True Positive
1,0.5303315,True Positive
0,0.47322872,False Positive
1,0.5161353,True Positive
1,0.5109838,True Positive
0,0.5133719,False Positive
1,0.52188414,True Positive
1,0.5166876,True Positive
1,0.5391288,True Positive
0,0.4566717,False Positive
0,0.52548176,False Positive
0,0.4812479,False Positive
1,0.5246595,True Positive
1,0.5055477,True Positive
0,0.6026222,False Positive
1,0.54753417,True Positive
1,0.5262131,True Positive
1,0.5165226,True Positive
0,0.5649645,False Positive
0,0.45169383,False Positive
1,0.5648288,True Positive
1,0.5446497,True Positive
1,0.59132254,True Positive
1,0.58850193,True Positive
1,0.59613913,True Positive
0,0.4795598,False Positive
1,0.50951654,True Positive
1,0.5287574,True Positive
0,0.48027217,False Positive
0,0.59625596,False Positive
0,0.5759658,False Positive
0,0.489479,False Positive
0,0.58669984,False Positive
1,0.54164994,True Positive
1,0.53349227,True Positive
1,0.53287303,True Positive
1,0.556533,True Positive
1,0.5392231,True Positive
1,0.5734489,True Positive
1,0.5481758,True Positive
1,0.5840954,True Positive
0,0.5473118,False Positive
1,0.5265758,True Positive
1,0.5446273,True Positive
1,0.5420748,True Positive
1,0.5443379,True Positive
1,0.5703537,True Positive
1,0.5447259,True Positive
0,0.5796529,False Positive
0,0.5642812,False Positive
0,0.4932027,False Positive
0,0.63707674,False Positive
1,0.543914,True Positive
1,0.5546084,True Positive
0,0.5665642,False Positive
1,0.50768524,True Positive
1,0.5604937,True Positive
1,0.54804814,True Positive
1,0.5918047,True Positive
1,0.54880565,True Positive
1,0.50139266,True Positive
1,0.5779913,True Positive
1,0.5953291,True Positive
1,0.52663034,True Positive
1,0.60433143,True Positive
1,0.575647,True Positive
0,0.5718434,False Positive
1,0.5686166,True Positive
1,0.55971503,True Positive
0,0.54911053,False Positive
0,0.50917596,False Positive
0,0.45713407,False Positive
0,0.46276283,False Positive
1,0.57806987,True Positive
1,0.52917147,True Positive
1,0.56157774,True Positive
1,0.5150462,True Positive
1,0.53392833,True Positive
1,0.6431395,True Positive
1,0.5999337,True Positive
1,0.5954192,True Positive
1,0.5952547,True Positive
1,0.54492605,True Positive
1,0.5058543,True Positive
0,0.5614743,False Positive
0,0.5144731,False Positive
0,0.51854616,False Positive
0,0.5501685,False Positive
0,0.5281544,False Positive
1,0.5738953,True Positive
1,0.5477581,True Positive
0,0.59334236,False Positive
0,0.5675471,False Positive
0,0.50078696,False Positive
0,0.5179873,False Positive
0,0.52785325,False Positive
