Probability,GT,P1,P2,Run
0.45097223,0,942,944,0
0.4492872,0,944,942,0
0.40120238,0,944,945,0
0.47406915,0,944,949,0
0.42839903,0,944,6949,0
0.4155675,0,945,944,0
0.53193563,0,945,949,0
0.44734806,0,949,944,0
0.48944288,0,949,945,0
0.5288382,0,1237,6945,0
0.5139669,0,1755,6945,0
0.48728013,0,3187,6951,0
0.5878439,1,6943,6944,0
0.5724506,1,6943,6945,0
0.59620106,1,6944,6943,0
0.5300631,1,6944,6946,0
0.5339619,0,6945,1237,0
0.52340394,0,6945,1755,0
0.5880809,1,6945,6943,0
0.5137627,1,6945,6946,0
0.54324824,1,6945,6949,0
0.54838806,0,6945,6950,0
0.536766,1,6946,6944,0
0.51848733,1,6946,6945,0
0.5207954,1,6946,6949,0
0.4716306,0,6946,8146,0
0.46348423,0,6946,10798,0
0.48524356,0,6949,944,0
0.5479362,1,6949,6945,0
0.52248603,1,6949,6946,0
0.5888377,0,6949,6951,0
0.5312152,1,6949,6952,0
0.54889625,0,6949,7913,0
0.4977517,0,6950,6945,0
0.46144506,0,6951,3187,0
0.48898026,0,6951,6949,0
0.41798544,0,6951,9987,0
0.51227385,1,6952,6949,0
0.56147146,0,7910,7913,0
0.45200443,0,7913,6949,0
0.4438859,0,7913,7910,0
0.4937457,0,8146,6946,0
0.559586,0,9987,6951,0
0.43946075,0,10798,6946,0
0.514164,1,1709,1710,1
0.52352357,1,1709,1711,1
0.423257,0,1709,1712,1
0.548648,0,1709,1713,1
0.5023409,0,1709,12297,1
0.4793311,0,1709,12485,1
0.52846426,1,1710,1709,1
0.537379,1,1710,1714,1
0.57136565,1,1710,1715,1
0.57052314,0,1710,7456,1
0.5160866,1,1711,1709,1
0.5359475,1,1711,1714,1
0.5285892,1,1711,1716,1
0.4921521,0,1712,1709,1
0.45576987,0,1713,1709,1
0.5496755,1,1714,1710,1
0.55718505,1,1714,1711,1
0.5160687,1,1714,1716,1
0.4935559,0,1714,1720,1
0.54701775,0,1714,1721,1
0.49982172,0,1714,1722,1
0.5062488,1,1715,1710,1
0.54721427,1,1716,1711,1
0.50551075,1,1716,1714,1
0.42520425,0,1720,1714,1
0.5573737,0,1721,1714,1
0.5528803,0,1722,1714,1
0.5784201,0,7450,7456,1
0.4451254,0,7456,1710,1
0.40110603,0,7456,7450,1
0.5077192,0,12297,1709,1
0.45523039,0,12485,1709,1
0.60510594,0,2293,9129,2
0.44344556,0,5461,9134,2
0.5616297,1,9126,9127,2
0.57204187,1,9126,9128,2
0.57461697,1,9127,9126,2
0.606654,1,9127,9129,2
0.57548934,1,9128,9126,2
0.6046558,1,9128,9129,2
0.5015315,1,9128,9134,2
0.5722045,1,9128,9135,2
0.56314325,0,9129,2293,2
0.5674056,1,9129,9127,2
0.5795495,1,9129,9128,2
0.50418836,1,9129,9134,2
0.48141554,0,9129,9136,2
0.5048014,0,9134,5461,2
0.5592486,1,9134,9128,2
0.5677648,1,9134,9129,2
0.5323177,1,9135,9128,2
0.5618446,0,9136,9129,2
0.50500154,0,166,167,3
0.43158218,0,166,168,3
0.46497872,0,166,169,3
0.442125,0,166,1225,3
0.46328285,0,166,6146,3
0.43083653,0,167,166,3
0.46373618,0,168,166,3
0.4368085,0,169,166,3
