Avg Acc,Avg Prec,Avg Rec,Best Acc,Best Prec,Best Rec,Avg Faith,Best Faith,Alpha,Beta,Run,LR,IDX
0.188783372,0.230875191,0.527734398,0.777777778,0.777777778,1,0.981832506,0.29275161,0.6,0.6,17,0.05,9617
0.188217445,0.231248588,0.522511545,0.777777778,0.777777778,1,0.984630116,0.752377495,0.6,0.6,2,0.05,9135
0.187576575,0.229899896,0.523498261,0.736842105,0.736842105,1,0.982944065,0.246346176,0.6,0.6,16,0.05,2357
0.188005776,0.229829129,0.526736375,0.736842105,0.736842105,1,0.982909006,0.765877157,0.6,0.6,12,0.05,1550
0.188292171,0.230239828,0.528035394,0.736842105,0.736842105,1,0.980933644,0.843852416,0.6,0.6,20,0.05,9239
0.188256322,0.230646758,0.525832556,0.736842105,0.736842105,1,0.982988692,0.953727309,0.6,0.6,23,0.05,9617
0.189418355,0.232960827,0.521980034,0.666666667,0.666666667,1,0.982946663,0.887062624,0.6,0.6,3,0.05,4807
0.186781666,0.22916415,0.522547617,0.666666667,0.666666667,1,0.983638562,0.887513921,0.6,0.6,24,0.05,5744
0.187919088,0.230228426,0.522635578,0.666666667,0.75,0.857142857,0.982731057,0.278574646,0.6,0.6,10,0.05,2357
0.185084081,0.229051267,0.510862758,0.666666667,0.75,0.857142857,0.985434176,0.480788469,0.6,0.6,8,0.05,599
0.184553934,0.227711969,0.514837371,0.647058823,0.785714286,0.785714286,0.982968036,0.828956366,0.6,0.6,5,0.05,11076
0.186789877,0.228596591,0.525507836,0.647058823,0.785714286,0.785714286,0.982892676,0.864390403,0.6,0.6,21,0.05,12188
0.185890731,0.228506354,0.517734393,0.636363636,0.636363636,1,0.983703601,0.606955171,0.6,0.6,1,0.05,1715
0.186223345,0.229228609,0.520400206,0.611111111,0.733333333,0.785714286,0.98267078,0.485599935,0.6,0.6,18,0.05,7971
0.186698199,0.230168771,0.517687568,0.6,0.666666667,0.857142857,0.982895535,0.92350655,0.6,0.6,9,0.05,861
0.187551295,0.230508196,0.519280369,0.590909091,0.619047619,0.928571429,0.984203033,0.745013028,0.6,0.6,19,0.05,2643
0.186993428,0.231067802,0.516388827,0.590909091,0.619047619,0.928571429,0.983820705,0.994034508,0.6,0.6,11,0.05,5574
0.184484283,0.22698057,0.513774278,0.583333333,0.583333333,1,0.982795027,0.825495958,0.6,0.6,22,0.05,1236
0.190821076,0.233787552,0.530460632,0.583333333,0.583333333,1,0.983937641,0.850277409,0.6,0.6,0,0.05,6952
0.184742121,0.228278117,0.512099414,0.565217391,0.590909091,0.928571429,0.983745452,0.132086337,0.6,0.6,15,0.05,592
0.186488139,0.229023206,0.520486432,0.55,0.647058823,0.785714286,0.982469521,0.876551986,0.6,0.6,13,0.05,7759
0.186455471,0.229764614,0.515765331,0.538461538,0.538461538,1,0.983192781,0.980235271,0.6,0.6,6,0.05,13047
0.186414839,0.229313089,0.520706473,0.538461538,0.538461538,1,0.983518762,0.720878184,0.6,0.6,14,0.05,3751
0.186968531,0.228747457,0.52161723,0.529411765,0.54,0.964285714,0.982742443,0.985290169,0.6,0.6,4,0.05,856
0.189906605,0.231701326,0.534259323,0.5,0.5,1,0.983073142,0.991927978,0.6,0.6,7,0.05,7139
