Probability,GT,P1,P2,Run
0.4983095,0,4497,4498,0
0.5036687,0,4497,4500,0
0.4960906,0,4498,4497,0
0.5060617,0,4498,4500,0
0.4967438,0,4500,4497,0
0.4997864,0,4500,4498,0
0.49900848,0,4500,10604,0
0.49869794,0,6830,10603,0
0.49290916,0,7694,10606,0
0.4959689,0,7879,10606,0
0.5021711,0,10603,6830,0
0.50142384,1,10603,10604,0
0.49863386,1,10603,10605,0
0.5019713,0,10604,4500,0
0.4980443,1,10604,10603,0
0.5014369,1,10604,10606,0
0.50299543,1,10604,10607,0
0.49736324,1,10605,10603,0
0.5063868,1,10605,10606,0
0.50257975,1,10605,10608,0
0.49511343,0,10606,7694,0
0.49902248,0,10606,7879,0
0.50154567,1,10606,10604,0
0.5028869,1,10606,10605,0
0.5003579,1,10606,10608,0
0.49489027,0,10606,10611,0
0.50373256,0,10606,10612,0
0.5011536,1,10607,10604,0
0.5029682,1,10608,10605,0
0.5026874,1,10608,10606,0
0.49915054,0,10611,10606,0
0.4953133,0,10612,10606,0
0.49835676,0,5228,7739,1
0.5021211,0,5370,7737,1
0.50124925,0,5788,7740,1
0.50001645,1,7734,7735,1
0.5023873,1,7734,7736,1
0.5005365,1,7735,7734,1
0.5043642,1,7735,7737,1
0.49951422,1,7735,7738,1
0.4971602,0,7735,7739,1
0.49953523,0,7735,7740,1
0.49428996,0,7735,9900,1
0.50666827,1,7736,7734,1
0.5031342,1,7736,7737,1
0.5022563,1,7736,7741,1
0.50114536,0,7737,5370,1
0.5005588,1,7737,7735,1
0.5031984,1,7737,7736,1
0.5023573,1,7737,7741,1
0.5019352,0,7737,7746,1
0.5060111,1,7738,7735,1
0.49409217,0,7739,5228,1
0.5023152,0,7739,7735,1
0.4973407,0,7740,5788,1
0.50157106,0,7740,7735,1
0.5000692,1,7741,7736,1
0.5008105,1,7741,7737,1
0.5014202,0,7746,7737,1
0.49616733,0,9894,9900,1
0.5017194,0,9900,7735,1
0.5044134,0,9900,9894,1
0.5056047,1,13191,13192,2
0.5034753,1,13191,13193,2
0.49817887,1,13191,13194,2
0.499538,1,13192,13191,2
0.5028108,1,13192,13195,2
0.50213665,1,13193,13191,2
0.5006156,1,13193,13195,2
0.5001023,1,13193,13196,2
0.50000924,0,13193,13197,2
0.50115997,1,13194,13191,2
0.5006132,1,13195,13192,2
0.50104225,1,13195,13193,2
0.5046591,1,13195,13196,2
0.50003976,1,13196,13193,2
0.49548626,1,13196,13195,2
0.49675027,0,13197,13193,2
0.49915236,0,3,12226,3
0.5008156,1,94,95,3
0.50139886,1,94,96,3
0.5022005,1,95,94,3
0.50022084,1,95,98,3
0.5022684,1,96,94,3
0.49739474,1,96,98,3
0.5007871,1,96,99,3
0.49569178,0,96,100,3
0.5067917,0,96,1759,3
0.5019033,1,98,95,3
0.502699,1,98,96,3
0.50540215,1,98,99,3
0.5015314,1,99,96,3
0.5014062,1,99,98,3
0.50005174,1,99,101,3
0.49451965,0,99,102,3
0.49657625,0,99,103,3
0.49960595,0,99,12226,3
0.49471867,0,100,96,3
0.503558,1,101,99,3
0.49884158,0,101,3651,3
0.4980627,0,102,99,3
0.5060152,0,102,1811,3
0.50375175,0,103,99,3
0.49887547,0,103,7336,3
0.49470314,0,1759,96,3
0.49975944,0,1811,102,3
0.49601415,0,3647,3648,3
