Probability,GT,P1,P2,Run
0.4651643,0,4210,4216,0
0.45555225,0,4216,4210,0
0.4822125,0,4216,11679,0
0.5629293,0,4599,11681,0
0.5440118,0,7423,11680,0
0.43708456,0,8640,8645,0
0.5634284,0,8645,8640,0
0.5614651,0,8645,11679,0
0.54374254,0,11679,4216,0
0.5082806,0,11679,8645,0
0.5533083,1,11679,11680,0
0.5579388,1,11679,11681,0
0.593118,1,11679,11682,0
0.52982134,0,11680,7423,0
0.55437624,1,11680,11679,0
0.5927656,1,11680,11683,0
0.48554972,0,11680,11684,0
0.5060807,0,11681,4599,0
0.51902586,1,11681,11679,0
0.5689073,1,11681,11683,0
0.51477313,1,11681,11685,0
0.5206478,0,11681,11686,0
0.5315332,1,11682,11679,0
0.500928,1,11683,11680,0
0.5072001,1,11683,11681,0
0.5061655,1,11683,11685,0
0.53331757,0,11684,11680,0
0.544091,1,11685,11681,0
0.58739436,1,11685,11683,0
0.5537999,0,11686,11681,0
0.45915836,0,512,1916,1
0.5475687,1,1912,1913,1
0.56127423,1,1912,1914,1
0.47295284,0,1912,1915,1
0.5678445,1,1913,1912,1
0.52401686,1,1913,1916,1
0.64873534,1,1913,1917,1
0.56395245,1,1914,1912,1
0.5198852,1,1914,1916,1
0.5011652,1,1914,1918,1
0.5260235,0,1915,1912,1
0.5563722,0,1916,512,1
0.5602801,1,1916,1913,1
0.5680924,1,1916,1914,1
0.48687667,1,1916,1918,1
0.48946485,0,1916,1921,1
0.5130448,1,1917,1913,1
0.53480405,1,1918,1914,1
0.475372,1,1918,1916,1
0.43955776,0,1921,1916,1
0.5312829,1,727,728,2
0.57652676,1,727,729,2
0.42122343,0,727,8273,2
0.51635224,1,728,727,2
0.53777945,1,728,730,2
0.5187377,1,729,727,2
0.5424204,1,729,730,2
0.5015931,1,729,731,2
0.5286929,0,729,732,2
0.48874262,1,729,733,2
0.46923453,0,729,9130,2
0.52659243,1,730,728,2
0.56745005,1,730,729,2
0.5279969,1,730,731,2
0.50624853,0,730,734,2
0.5093076,0,730,735,2
0.48836288,0,730,10970,2
0.5721656,1,731,729,2
0.57528204,1,731,730,2
0.5458527,0,731,736,2
0.64025795,0,731,737,2
0.54036623,0,732,729,2
0.48573384,0,732,10895,2
0.52081496,1,733,729,2
0.4539096,1,733,7932,2
0.54305315,0,734,730,2
0.5524265,0,735,730,2
0.4561874,0,736,731,2
0.4707332,0,737,731,2
0.5640853,0,3090,7933,2
0.56703204,0,3907,7934,2
0.560605,1,7932,733,2
0.56834334,1,7932,7933,2
0.6774344,1,7932,7934,2
0.5230154,0,7932,12058,2
0.5622052,0,7933,3090,2
0.52086174,1,7933,7932,2
0.6334543,1,7933,7935,2
0.5569948,0,7933,7936,2
0.59794104,0,7933,11661,2
0.64699036,0,7934,3907,2
0.61808443,1,7934,7932,2
0.7243432,1,7934,7935,2
0.71083325,1,7934,7937,2
0.701169,1,7935,7933,2
0.78861904,1,7935,7934,2
0.7669395,1,7935,7937,2
0.55096555,0,7936,7933,2
0.7000243,1,7937,7934,2
0.6948062,1,7937,7935,2
0.55763274,0,8273,727,2
0.45735082,0,9126,9130,2
0.49804625,0,9130,729,2
0.46002993,0,9130,9126,2
0.5447354,0,10895,732,2
0.58603126,0,10970,730,2
0.53683585,0,11661,7933,2
0.46486777,0,12054,12058,2
0.4202979,0,12055,12058,2
0.4410847,0,12055,12060,2
0.52482533,0,12058,7932,2
0.55773294,0,12058,12054,2
0.5452117,0,12058,12055,2
0.504894,0,12058,12060,2
0.5088869,0,12060,12055,2
0.47173148,0,12060,12058,2
0.5197869,0,256,5890,3
0.48942408,0,5890,256,3
0.5431166,1,5890,5891,3
0.5437854,1,5890,5892,3
0.48722667,0,5890,5893,3
0.54551476,0,5890,5894,3
0.46219683,0,5890,5895,3
0.48222262,0,5890,5896,3
0.52594775,1,5891,5890,3
0.53308475,1,5891,5897,3
0.5466058,0,5891,5898,3
0.49099737,0,5891,5899,3
0.4924896,0,5891,5900,3
0.55099654,1,5891,5901,3
0.52319163,1,5892,5890,3
0.53199834,1,5892,5897,3
0.52326775,1,5892,5902,3
0.49074468,0,5893,5890,3
0.5168793,0,5894,5890,3
0.44729814,0,5895,5890,3
0.491278,0,5896,5890,3
0.5585397,1,5897,5891,3
0.56379455,1,5897,5892,3
0.53556603,1,5897,5902,3
0.51873106,0,5897,5906,3
0.4654577,0,5897,10746,3
0.4916098,0,5898,5891,3
0.47752225,0,5898,8959,3
0.61111027,0,5899,5891,3
0.45702916,0,5900,5891,3
0.41278213,0,5900,10601,3
0.4026501,1,5901,5891,3
0.5736792,1,5902,5892,3
0.55641556,1,5902,5897,3
0.5162368,0,5906,5897,3
0.5732086,0,8959,5898,3
0.4876059,0,10601,5900,3
0.48019683,0,10746,5897,3
0.5390599,1,1803,1804,4
0.57597864,1,1803,1805,4
0.5481146,1,1803,1806,4
0.5319545,0,1803,5567,4
0.5248849,1,1804,1803,4
0.5050297,1,1804,1807,4
0.4965812,0,1804,1808,4
0.5339704,1,1805,1803,4
0.5015675,1,1805,1807,4
0.5602305,1,1805,1809,4
0.51908535,1,1806,1803,4
0.48656678,1,1807,1804,4
0.5259933,1,1807,1805,4
0.51674175,1,1807,1809,4
0.48290214,0,1808,1804,4
0.5535053,1,1809,1805,4
0.5050384,1,1809,1807,4
0.48076856,0,5562,5567,4
0.4131016,0,5567,1803,4
0.3832876,0,5567,5562,4
0.41573736,0,5567,6274,4
0.52751076,0,6274,5567,4
0.58806384,0,5687,10902,5
0.45199296,0,6004,7582,5
0.4505612,1,7580,7581,5
0.5300197,1,7580,7582,5
0.5017337,1,7581,7580,5
0.5408485,1,7581,7585,5
0.4938402,0,7582,6004,5
0.5306811,1,7582,7580,5
0.5567431,1,7582,7585,5
0.5938763,1,7582,7587,5
0.5016629,0,7582,9237,5
0.43209893,1,7585,7581,5
0.51346,1,7585,7582,5
0.5649237,1,7585,7587,5
0.51329494,1,7587,7582,5
0.53950626,1,7587,7585,5
0.54557616,1,7587,10904,5
0.5151593,0,7587,11879,5
0.47770008,0,9237,7582,5
0.53685194,1,10901,10902,5
0.5112377,1,10901,10903,5
0.55652994,1,10901,10904,5
0.5865296,0,10902,5687,5
0.5340712,1,10902,10901,5
0.51650745,1,10902,10905,5
0.53214943,1,10903,10901,5
0.5153558,1,10903,10905,5
0.47885728,1,10903,10906,5
0.5520453,0,10903,10907,5
0.5496783,0,10903,10908,5
0.627646,1,10904,7587,5
0.58439255,1,10904,10901,5
0.5006463,1,10905,10902,5
0.48134887,1,10905,10903,5
0.45487052,1,10905,10906,5
0.5342003,1,10906,10903,5
0.5370274,1,10906,10905,5
0.47914684,0,10907,10903,5
0.4885299,0,10908,10903,5
0.5431636,0,11877,11879,5
0.5992812,0,11879,7587,5
0.5421675,0,11879,11877,5
0.53453207,0,11879,11880,5
0.49159336,0,11879,11882,5
0.49534777,0,11880,11879,5
0.4383744,0,11880,11882,5
0.42345878,0,11882,11879,5
0.4052281,0,11882,11880,5
0.5394895,0,161,647,6
0.5122316,1,645,646,6
0.5468092,1,645,647,6
0.59062976,1,645,648,6
0.5783503,1,646,645,6
0.5447268,1,646,649,6
0.49954936,0,646,650,6
0.42256314,0,646,651,6
0.43015128,0,646,6062,6
0.47908446,0,646,9562,6
0.52448696,0,646,11709,6
0.47940272,0,647,161,6
0.6068482,1,647,645,6
0.5764126,1,647,649,6
0.55127203,1,647,652,6
0.5219006,0,647,653,6
0.6118247,0,647,654,6
0.6151762,0,647,4691,6
0.50040513,0,647,10116,6
0.5449577,1,648,645,6
0.541043,1,649,646,6
