Avg Acc,Avg Prec,Avg Rec,Best Acc,Best Prec,Best Rec,Avg Faith,Best Faith,Alpha,Beta,Run,LR,IDX
0.185106963,0.227631519,0.517254809,0.8125,0.866666667,0.928571429,0.987329314,0.726268739,0.8,0.8,4,0.05,1806
0.187397356,0.230825579,0.518667209,0.764705882,0.8125,0.928571429,0.988548472,0.215518594,0.8,0.8,14,0.05,1917
0.190158013,0.231394249,0.535953517,0.764705882,0.8125,0.928571429,0.987625571,0.703428149,0.8,0.8,13,0.05,3197
0.188379123,0.231361942,0.522083981,0.75,0.857142857,0.857142857,0.987718139,0.264361322,0.8,0.8,1,0.05,1917
0.188230149,0.232104154,0.518830334,0.705882353,0.8,0.857142857,0.989010296,0.945853598,0.8,0.8,21,0.05,4918
0.187608684,0.230214599,0.522044795,0.7,0.7,1,0.987959555,0.991843623,0.8,0.8,23,0.05,2536
0.187454359,0.230519469,0.520976763,0.684210526,0.722222222,0.928571429,0.987428768,0.715572,0.8,0.8,17,0.05,1572
0.183956726,0.227770882,0.508640066,0.684210526,0.722222222,0.928571429,0.988609902,0.986715704,0.8,0.8,16,0.05,1445
0.189143206,0.232107326,0.523775485,0.666666667,0.666666667,1,0.988245105,0.954962533,0.8,0.8,19,0.05,7317
0.186698477,0.230422885,0.515486855,0.65,0.684210526,0.928571429,0.988072948,0.152863324,0.8,0.8,10,0.05,4480
0.185491772,0.228443987,0.515685872,0.65,0.684210526,0.928571429,0.987367672,0.665910423,0.8,0.8,24,0.05,1825
0.186643456,0.230051754,0.516842158,0.65,0.684210526,0.928571429,0.98800448,0.866034582,0.8,0.8,12,0.05,5245
0.185874871,0.229497434,0.513806469,0.647058823,0.785714286,0.785714286,0.989555677,0.615700155,0.8,0.8,8,0.05,9210
0.185067249,0.228360173,0.512464891,0.636363636,0.636363636,1,0.987267387,0.092558444,0.8,0.8,7,0.05,5517
0.187712856,0.230176682,0.523560959,0.636363636,0.636363636,1,0.987640097,0.775858864,0.8,0.8,9,0.05,2793
0.187232173,0.2311208,0.516566211,0.619047619,0.65,0.928571429,0.988739904,0.82679376,0.8,0.8,11,0.05,1825
0.185958628,0.228759772,0.517771497,0.619047619,0.65,0.928571429,0.987235261,0.898289792,0.8,0.8,15,0.05,10870
0.187439055,0.230037881,0.522154666,0.605263158,0.696969697,0.821428571,0.988959091,0.869256794,0.8,0.8,5,0.05,10904
0.185640282,0.229038118,0.513177713,0.6,0.666666667,0.857142857,0.988248697,0.999901065,0.8,0.8,22,0.05,3130
0.186409925,0.229040069,0.518879196,0.590909091,0.619047619,0.928571429,0.988806985,0.980807384,0.8,0.8,3,0.05,5901
0.187393377,0.229749428,0.526370387,0.56,0.56,1,0.988545522,0.964601502,0.8,0.8,0,0.05,11682
0.187058138,0.230815281,0.516607799,0.541666667,0.565217391,0.928571429,0.988038422,0.74260062,0.8,0.8,18,0.05,3154
0.186051474,0.229368492,0.51609962,0.528301887,0.528301887,1,0.988071296,0.984499153,0.8,0.8,20,0.05,3270
0.188168314,0.230912997,0.522673482,0.518518518,0.518518518,1,0.988211289,0.621154875,0.8,0.8,6,0.05,648
0.185901668,0.229668566,0.513936104,0.490566038,0.509803922,0.928571429,0.988933142,0.993031188,0.8,0.8,2,0.05,733
