Probability,GT,P1,P2,Run
0.49838725,1,7343,7344,0
0.503554,1,7343,7345,0
0.5036258,1,7343,7346,0
0.50203836,1,7344,7343,0
0.5026238,1,7344,7347,0
0.50317705,0,7344,7348,0
0.4969309,0,7344,13050,0
0.5004764,1,7345,7343,0
0.5020312,1,7345,7347,0
0.5015328,1,7345,7349,0
0.49749333,0,7345,7350,0
0.50553435,0,7345,7351,0
0.5019814,0,7345,8652,0
0.4976877,1,7346,7343,0
0.4924626,1,7347,7344,0
0.5028819,1,7347,7345,0
0.5001561,1,7347,7349,0
0.50047886,0,7348,7344,0
0.50047284,1,7349,7345,0
0.5006038,1,7349,7347,0
0.50761944,0,7350,7345,0
0.50317156,0,7351,7345,0
0.49483353,0,8652,7345,0
0.4926411,0,13050,7344,0
0.5010071,1,161,162,1
0.50505763,1,161,163,1
0.5025555,1,162,161,1
0.49916825,1,162,164,1
0.5004882,0,162,165,1
0.5029586,0,162,166,1
0.49777478,0,162,1253,1
0.49680528,0,162,12712,1
0.5008183,1,163,161,1
0.49600586,1,163,164,1
0.503218,1,163,167,1
0.49636662,0,163,168,1
0.50075954,0,163,169,1
0.49965483,0,163,170,1
0.49443802,0,163,10143,1
0.50163627,1,164,162,1
0.5017046,1,164,163,1
0.49826476,1,164,167,1
0.4986072,1,164,171,1
0.5028667,0,164,5487,1
0.49646628,0,164,10401,1
0.4994615,0,165,162,1
0.49075347,0,166,162,1
0.4980526,1,167,163,1
0.49429142,1,167,164,1
0.49919534,0,168,163,1
0.49457213,0,169,163,1
0.50026774,0,170,163,1
0.500275,1,171,164,1
0.50365305,1,171,1902,1
0.50041044,0,1253,162,1
0.5007902,1,1902,171,1
0.50039965,1,1902,1903,1
0.50068784,1,1902,1904,1
0.49987492,0,1902,8382,1
0.50246805,1,1903,1902,1
0.5031673,1,1903,1905,1
0.49541456,0,1903,8500,1
0.5000969,1,1904,1902,1
0.5022969,1,1904,1905,1
0.5015696,1,1904,1906,1
0.4997716,0,1904,1907,1
0.49459285,0,1904,9110,1
0.49971798,1,1905,1903,1
0.50251293,1,1905,1904,1
0.5017704,1,1905,1906,1
0.4955477,1,1906,1904,1
0.500329,1,1906,1905,1
0.49660525,0,1907,1904,1
0.4968566,0,5483,5487,1
0.4952795,0,5487,164,1
0.49770662,0,5487,5483,1
0.49973878,0,8382,1902,1
0.4993159,0,8382,8383,1
0.49884397,0,8382,8384,1
0.49979612,0,8382,10884,1
0.5013614,0,8383,8382,1
0.4963584,0,8384,8382,1
0.49917728,0,8500,1903,1
0.497715,0,9110,1904,1
0.49539015,0,10143,163,1
0.4998464,0,10397,10401,1
0.50075495,0,10401,164,1
0.50079495,0,10401,10397,1
0.49851704,0,10884,8382,1
0.4985815,0,12712,162,1
0.4969058,0,2978,2980,2
0.49796674,0,2980,2978,2
0.5033458,0,2980,2983,2
0.49902713,0,2980,2985,2
0.49978647,0,2980,2986,2
0.50441396,0,2980,2987,2
0.4962678,0,2980,10513,2
0.49401197,0,2983,2980,2
0.50059605,0,2983,2985,2
0.5044879,0,2985,2980,2
0.4962729,0,2985,2983,2
0.49696335,0,2986,2980,2
0.5065469,0,2986,9088,2
0.49986264,0,2987,2980,2
0.49833545,0,5536,9080,2
