Avg Acc,Avg Prec,Avg Rec,Best Acc,Best Prec,Best Rec,Avg Faith,Best Faith,Alpha,Beta,Seed,LR,IDX
0.176054646,0.233624136,0.433775027,0.588235294,0.769230769,0.714285714,0.993023756,0.457037985,,,0,1.00E-05,1645
0.17472333,0.231396809,0.432534467,0.611111111,0.733333333,0.785714286,0.992213183,0.939937815,,,1,1.00E-05,9817
0.175328362,0.232710383,0.433815036,0.523809524,0.611111111,0.785714286,0.992669692,0.968642391,,,2,1.00E-05,5683
0.175379674,0.232316871,0.4354071,0.469387755,0.522727273,0.821428571,0.992444169,0.999963172,,,3,1.00E-05,989
0.176020817,0.232484973,0.437950944,0.6875,0.846153846,0.785714286,0.992674344,0.929595217,,,4,1.00E-05,8730
0.173965606,0.231255087,0.431065175,0.5,0.8,0.571428571,0.992961994,0.93196024,,,5,1.00E-05,440
0.175889002,0.232903274,0.436735296,0.611111111,0.733333333,0.785714286,0.99270085,0.891730227,,,6,1.00E-05,3983
0.17705855,0.234485183,0.43805258,0.5,0.578947368,0.785714286,0.992842336,0.983577449,,,7,1.00E-05,7522
0.177335054,0.234725589,0.438394957,0.428571429,0.461538462,0.857142857,0.992858672,0.98726816,,,8,1.00E-05,8294
0.175294029,0.231843071,0.435627665,0.55,0.647058823,0.785714286,0.992749485,0.967105448,,,9,1.00E-05,3130
0.175235293,0.232787954,0.432743091,0.52173913,0.571428571,0.857142857,0.993231308,0.726178497,,,10,1.00E-05,12755
0.175469306,0.233019424,0.433219839,0.6,0.9,0.642857143,0.992887183,0.965471957,,,15,1.00E-05,1806
0.175258949,0.232628467,0.434221991,0.55,0.647058823,0.785714286,0.992840854,0.999951451,,,20,1.00E-05,11416
0.174803894,0.231711158,0.43345612,0.611111111,0.733333333,0.785714286,0.99302842,0.999034551,,,25,1.00E-05,10912
0.174454772,0.231105786,0.433537442,0.578947368,0.6875,0.785714286,0.992244202,0.78390719,,,30,1.00E-05,12984
0.17457987,0.231614179,0.43467719,0.55,0.647058823,0.785714286,0.992666632,0.547383964,,,40,1.00E-05,7346
0.177382014,0.234389951,0.440204498,0.631578947,0.705882353,0.857142857,0.993344766,0.928819418,,,50,1.00E-05,5516
0.176116099,0.233658941,0.436735913,0.611111111,0.733333333,0.785714286,0.992467557,0.965365503,,,60,1.00E-05,346
0.175976793,0.232034921,0.441262581,0.545454545,0.6,0.857142857,0.992633905,0.997847513,,,70,1.00E-05,4917
0.175213507,0.232219416,0.434310381,0.571428571,0.631578947,0.857142857,0.993147963,0.955657844,,,80,1.00E-05,1445
0.174470436,0.230966281,0.43450432,0.647058823,0.785714286,0.785714286,0.992800488,0.597544849,,,90,1.00E-05,9210
0.174160057,0.230907438,0.431368641,0.52173913,0.571428571,0.857142857,0.992807731,0.827529117,,,100,1.00E-05,5340
0.173114841,0.230533444,0.427797528,0.6,0.666666667,0.857142857,0.992677923,0.991892573,,,200,1.00E-05,878
0.175420903,0.232418331,0.434334538,0.578947368,0.6875,0.785714286,0.993221119,0.991133248,,,300,1.00E-05,1439
0.176087089,0.233644575,0.43619102,0.578947368,0.6875,0.785714286,0.992602628,0.310032606,,,400,1.00E-05,9423
0.175368695,0.232101959,0.43562094,0.733333333,0.916666667,0.785714286,0.992430992,0.140307307,,,500,1.00E-05,2645
0.177232045,0.234018278,0.439780936,0.666666667,0.909090909,0.714285714,0.992808631,0.899284393,,,600,1.00E-05,4731
0.175598939,0.232715433,0.436368007,0.6,0.666666667,0.857142857,0.992427737,0.587596446,,,700,1.00E-05,5961
0.175995928,0.233602509,0.433754919,0.647058823,0.785714286,0.785714286,0.993222607,0.999802125,,,800,1.00E-05,1445
0.175071307,0.231819188,0.434755218,0.8,0.923076923,0.857142857,0.992933786,0.979291363,,,900,1.00E-05,964
0.17462001,0.231330615,0.433200075,0.55,0.647058823,0.785714286,0.992758655,0.925222315,,,1000,1.00E-05,3530
