GT,Edge Probability,Category
0,0.4651643,False Positive
0,0.45555225,False Positive
0,0.4822125,False Positive
0,0.5629293,False Positive
0,0.5440118,False Positive
0,0.43708456,False Positive
0,0.5634284,False Positive
0,0.5614651,False Positive
0,0.54374254,False Positive
0,0.5082806,False Positive
1,0.5533083,True Positive
1,0.5579388,True Positive
1,0.593118,True Positive
0,0.52982134,False Positive
1,0.55437624,True Positive
1,0.5927656,True Positive
0,0.48554972,False Positive
0,0.5060807,False Positive
1,0.51902586,True Positive
1,0.5689073,True Positive
1,0.51477313,True Positive
0,0.5206478,False Positive
1,0.5315332,True Positive
1,0.500928,True Positive
1,0.5072001,True Positive
1,0.5061655,True Positive
0,0.53331757,False Positive
1,0.544091,True Positive
1,0.58739436,True Positive
0,0.5537999,False Positive
0,0.45915836,False Positive
1,0.5475687,True Positive
1,0.56127423,True Positive
0,0.47295284,False Positive
1,0.5678445,True Positive
1,0.52401686,True Positive
1,0.64873534,True Positive
1,0.56395245,True Positive
1,0.5198852,True Positive
1,0.5011652,True Positive
0,0.5260235,False Positive
0,0.5563722,False Positive
1,0.5602801,True Positive
1,0.5680924,True Positive
1,0.48687667,True Positive
0,0.48946485,False Positive
1,0.5130448,True Positive
1,0.53480405,True Positive
1,0.475372,True Positive
0,0.43955776,False Positive
1,0.5312829,True Positive
1,0.57652676,True Positive
0,0.42122343,False Positive
1,0.51635224,True Positive
1,0.53777945,True Positive
1,0.5187377,True Positive
1,0.5424204,True Positive
1,0.5015931,True Positive
0,0.5286929,False Positive
1,0.48874262,True Positive
0,0.46923453,False Positive
1,0.52659243,True Positive
1,0.56745005,True Positive
1,0.5279969,True Positive
0,0.50624853,False Positive
0,0.5093076,False Positive
0,0.48836288,False Positive
1,0.5721656,True Positive
1,0.57528204,True Positive
0,0.5458527,False Positive
0,0.64025795,False Positive
0,0.54036623,False Positive
0,0.48573384,False Positive
1,0.52081496,True Positive
1,0.4539096,True Positive
0,0.54305315,False Positive
0,0.5524265,False Positive
0,0.4561874,False Positive
0,0.4707332,False Positive
0,0.5640853,False Positive
0,0.56703204,False Positive
1,0.560605,True Positive
1,0.56834334,True Positive
1,0.6774344,True Positive
0,0.5230154,False Positive
0,0.5622052,False Positive
1,0.52086174,True Positive
1,0.6334543,True Positive
0,0.5569948,False Positive
0,0.59794104,False Positive
0,0.64699036,False Positive
1,0.61808443,True Positive
1,0.7243432,True Positive
1,0.71083325,True Positive
1,0.701169,True Positive
1,0.78861904,True Positive
1,0.7669395,True Positive
0,0.55096555,False Positive
1,0.7000243,True Positive
1,0.6948062,True Positive
0,0.55763274,False Positive
0,0.45735082,False Positive
0,0.49804625,False Positive
0,0.46002993,False Positive
0,0.5447354,False Positive
0,0.58603126,False Positive
0,0.53683585,False Positive
0,0.46486777,False Positive
0,0.4202979,False Positive
0,0.4410847,False Positive
0,0.52482533,False Positive
0,0.55773294,False Positive
0,0.5452117,False Positive
0,0.504894,False Positive
0,0.5088869,False Positive
0,0.47173148,False Positive
0,0.5197869,False Positive
0,0.48942408,False Positive
1,0.5431166,True Positive
1,0.5437854,True Positive
0,0.48722667,False Positive
0,0.54551476,False Positive
0,0.46219683,False Positive
0,0.48222262,False Positive
1,0.52594775,True Positive
1,0.53308475,True Positive
0,0.5466058,False Positive
0,0.49099737,False Positive
0,0.4924896,False Positive
1,0.55099654,True Positive
1,0.52319163,True Positive
1,0.53199834,True Positive
1,0.52326775,True Positive
0,0.49074468,False Positive
0,0.5168793,False Positive
0,0.44729814,False Positive
0,0.491278,False Positive
1,0.5585397,True Positive
1,0.56379455,True Positive
1,0.53556603,True Positive
0,0.51873106,False Positive
0,0.4654577,False Positive
0,0.4916098,False Positive
0,0.47752225,False Positive
0,0.61111027,False Positive
0,0.45702916,False Positive
0,0.41278213,False Positive
1,0.4026501,True Positive
1,0.5736792,True Positive
1,0.55641556,True Positive
0,0.5162368,False Positive
0,0.5732086,False Positive
0,0.4876059,False Positive
0,0.48019683,False Positive
1,0.5390599,True Positive
1,0.57597864,True Positive
1,0.5481146,True Positive
0,0.5319545,False Positive
1,0.5248849,True Positive
1,0.5050297,True Positive
0,0.4965812,False Positive
1,0.5339704,True Positive
1,0.5015675,True Positive
1,0.5602305,True Positive
1,0.51908535,True Positive
1,0.48656678,True Positive
1,0.5259933,True Positive
1,0.51674175,True Positive
0,0.48290214,False Positive
1,0.5535053,True Positive
1,0.5050384,True Positive
0,0.48076856,False Positive
0,0.4131016,False Positive
0,0.3832876,False Positive
0,0.41573736,False Positive
0,0.52751076,False Positive
0,0.58806384,False Positive
0,0.45199296,False Positive
1,0.4505612,True Positive
1,0.5300197,True Positive
1,0.5017337,True Positive
1,0.5408485,True Positive
0,0.4938402,False Positive
1,0.5306811,True Positive
1,0.5567431,True Positive
1,0.5938763,True Positive
0,0.5016629,False Positive
1,0.43209893,True Positive
1,0.51346,True Positive
1,0.5649237,True Positive
1,0.51329494,True Positive
1,0.53950626,True Positive
1,0.54557616,True Positive
0,0.5151593,False Positive
0,0.47770008,False Positive
1,0.53685194,True Positive
1,0.5112377,True Positive
1,0.55652994,True Positive
0,0.5865296,False Positive
1,0.5340712,True Positive
1,0.51650745,True Positive
1,0.53214943,True Positive
1,0.5153558,True Positive
1,0.47885728,True Positive
0,0.5520453,False Positive
0,0.5496783,False Positive
1,0.627646,True Positive
1,0.58439255,True Positive
1,0.5006463,True Positive
1,0.48134887,True Positive
1,0.45487052,True Positive
1,0.5342003,True Positive
1,0.5370274,True Positive
0,0.47914684,False Positive
0,0.4885299,False Positive
0,0.5431636,False Positive
0,0.5992812,False Positive
0,0.5421675,False Positive
0,0.53453207,False Positive
0,0.49159336,False Positive
0,0.49534777,False Positive
0,0.4383744,False Positive
0,0.42345878,False Positive
0,0.4052281,False Positive
0,0.5394895,False Positive
1,0.5122316,True Positive
1,0.5468092,True Positive
1,0.59062976,True Positive
1,0.5783503,True Positive
1,0.5447268,True Positive
0,0.49954936,False Positive
0,0.42256314,False Positive
0,0.43015128,False Positive
0,0.47908446,False Positive
0,0.52448696,False Positive
0,0.47940272,False Positive
1,0.6068482,True Positive
1,0.5764126,True Positive
1,0.55127203,True Positive
0,0.5219006,False Positive
0,0.6118247,False Positive
0,0.6151762,False Positive
0,0.50040513,False Positive
1,0.5449577,True Positive
1,0.541043,True Positive
1,0.57327974,True Positive
1,0.55820704,True Positive
0,0.5196156,False Positive
0,0.47474775,False Positive
1,0.5012577,True Positive
1,0.51075286,True Positive
0,0.53697187,False Positive
0,0.46596923,False Positive
0,0.5148693,False Positive
0,0.52286357,False Positive
0,0.527259,False Positive
0,0.6085048,False Positive
0,0.51213056,False Positive
0,0.5064856,False Positive
0,0.5904303,False Positive
0,0.5682677,False Positive
1,0.50475144,True Positive
1,0.528527,True Positive
0,0.54826784,False Positive
1,0.54328024,True Positive
1,0.5591908,True Positive
0,0.577866,False Positive
1,0.5775312,True Positive
0,0.4756095,False Positive
1,0.5093979,True Positive
1,0.5287252,True Positive
1,0.5324121,True Positive
1,0.5322209,True Positive
1,0.5547451,True Positive
1,0.548973,True Positive
0,0.5792205,False Positive
0,0.58050126,False Positive
0,0.47883227,False Positive
1,0.59979504,True Positive
0,0.43953177,False Positive
1,0.54167205,True Positive
1,0.5232219,True Positive
0,0.55222875,False Positive
0,0.4603908,False Positive
0,0.49154946,False Positive
1,0.49392095,True Positive
1,0.51911,True Positive
1,0.4904548,True Positive
0,0.49617344,False Positive
1,0.49013653,True Positive
1,0.5163132,True Positive
0,0.48807725,False Positive
1,0.58747905,True Positive
1,0.61815286,True Positive
1,0.6011816,True Positive
0,0.5891408,False Positive
1,0.56890446,True Positive
1,0.53565353,True Positive
1,0.57813495,True Positive
1,0.526073,True Positive
0,0.55552465,False Positive
1,0.5407403,True Positive
1,0.5015338,True Positive
0,0.56646717,False Positive
0,0.50625944,False Positive
0,0.5104202,False Positive
0,0.4144971,False Positive
0,0.48334894,False Positive
0,0.49383837,False Positive
1,0.5291177,True Positive
1,0.50357485,True Positive
