Probability,GT,P1,P2,Run
0.49807304,1,1000,1001,0
0.5016319,1,1000,1002,0
0.5006624,1,1001,1000,0
0.50297827,1,1001,1007,0
0.5004987,1,1002,1000,0
0.49645007,1,1002,1007,0
0.49465507,1,1002,1009,0
0.49772704,0,1002,1010,0
0.5044656,1,1007,1001,0
0.5016915,1,1007,1002,0
0.5023541,1,1007,1009,0
0.4994238,0,1007,1011,0
0.49858922,0,1007,1012,0
0.4988538,0,1007,1013,0
0.4998941,0,1007,1014,0
0.4979537,0,1007,6047,0
0.50581646,1,1009,1002,0
0.50088376,1,1009,1007,0
0.50187945,1,1009,1015,0
0.49658024,0,1009,2261,0
0.49916473,0,1010,1002,0
0.49635488,0,1011,1007,0
0.50241816,0,1012,1007,0
0.49951398,0,1013,1007,0
0.49438605,0,1014,1007,0
0.5012994,1,1015,1009,0
0.49728128,0,2256,2261,0
0.5016846,0,2261,1009,0
0.50244945,0,2261,2256,0
0.49368578,0,6047,1007,0
0.50761807,1,66,67,1
0.4983093,1,66,68,1
0.50565445,1,67,66,1
0.50097424,1,67,70,1
0.5009269,1,68,66,1
0.5000514,1,68,70,1
0.50054586,1,68,73,1
0.4998987,0,68,74,1
0.49839312,0,68,75,1
0.49885985,0,68,3370,1
0.49768487,0,68,6978,1
0.49928993,0,68,9164,1
0.50421,0,68,10924,1
0.50338393,1,70,67,1
0.49610302,1,70,68,1
0.5037671,1,70,73,1
0.5004344,0,70,6767,1
0.50030404,1,73,68,1
0.50358975,1,73,70,1
0.49458846,0,73,76,1
0.50265396,1,73,77,1
0.49859142,0,73,6562,1
0.49802,0,74,68,1
0.4978126,0,75,68,1
0.49358702,0,76,73,1
0.49811268,0,76,5580,1
0.5037075,1,77,73,1
0.49698997,0,3370,68,1
0.50032455,0,4514,6562,1
0.4983024,0,5580,76,1
0.5031818,0,6561,6562,1
0.49682418,0,6562,73,1
0.4954845,0,6562,4514,1
0.49986508,0,6562,6561,1
0.5005898,0,6562,6566,1
0.4956775,0,6562,6567,1
0.4981991,0,6562,8696,1
0.49672604,0,6566,6562,1
