GT,Edge Probability,Category
0,0.5089664,False Positive
0,0.49632016,False Positive
1,0.51379704,True Positive
1,0.5466643,True Positive
1,0.6410213,True Positive
0,0.5665503,False Positive
0,0.47074643,False Positive
0,0.53930575,False Positive
1,0.53319246,True Positive
1,0.5216103,True Positive
0,0.49638912,False Positive
0,0.53748786,False Positive
1,0.62297815,True Positive
1,0.61520183,True Positive
1,0.60056233,True Positive
0,0.6444285,False Positive
0,0.550572,False Positive
1,0.5334758,True Positive
1,0.61789644,True Positive
1,0.5422586,True Positive
1,0.578066,True Positive
1,0.55155647,True Positive
0,0.6042918,False Positive
0,0.54154736,False Positive
1,0.5619572,True Positive
1,0.5561201,True Positive
0,0.545084,False Positive
0,0.5878184,False Positive
0,0.58503807,False Positive
0,0.6280843,False Positive
0,0.6333903,False Positive
0,0.6033265,False Positive
0,0.6109045,False Positive
1,0.67237604,True Positive
1,0.5392496,True Positive
1,0.6823082,True Positive
1,0.59358203,True Positive
1,0.6001645,True Positive
1,0.55144113,True Positive
1,0.5690439,True Positive
1,0.5542735,True Positive
1,0.6225751,True Positive
1,0.5010667,True Positive
1,0.5366955,True Positive
0,0.4820044,False Positive
0,0.5765403,False Positive
1,0.5266501,True Positive
1,0.5845028,True Positive
0,0.569505,False Positive
0,0.5949736,False Positive
1,0.5474545,True Positive
1,0.5493839,True Positive
1,0.60272354,True Positive
1,0.59043956,True Positive
1,0.5673506,True Positive
0,0.56446785,False Positive
0,0.6153531,False Positive
1,0.538273,True Positive
1,0.5101558,True Positive
1,0.57205504,True Positive
0,0.5664293,False Positive
1,0.5354643,True Positive
1,0.5311297,True Positive
1,0.5882913,True Positive
0,0.54266554,False Positive
1,0.5730365,True Positive
1,0.564292,True Positive
0,0.5261715,False Positive
0,0.61177737,False Positive
0,0.5967983,False Positive
1,0.5294758,True Positive
1,0.52026904,True Positive
0,0.5395209,False Positive
1,0.5599844,True Positive
0,0.5686909,False Positive
0,0.60151917,False Positive
1,0.6426301,True Positive
1,0.5726649,True Positive
0,0.57189846,False Positive
1,0.6689263,True Positive
1,0.60534513,True Positive
1,0.5796874,True Positive
0,0.5800203,False Positive
1,0.58059037,True Positive
1,0.6156993,True Positive
0,0.5721365,False Positive
0,0.6731729,False Positive
1,0.57168174,True Positive
1,0.5675407,True Positive
1,0.5296574,True Positive
1,0.57253873,True Positive
1,0.5610457,True Positive
0,0.5218501,False Positive
0,0.5665991,False Positive
0,0.56020874,False Positive
0,0.5667902,False Positive
0,0.5664882,False Positive
0,0.58762103,False Positive
1,0.5636428,True Positive
1,0.5296233,True Positive
1,0.561199,True Positive
1,0.5999376,True Positive
0,0.5554347,False Positive
1,0.59988254,True Positive
1,0.6355841,True Positive
1,0.631429,True Positive
0,0.6660266,False Positive
1,0.6387568,True Positive
1,0.61775506,True Positive
1,0.6101006,True Positive
0,0.6849467,False Positive
0,0.59082174,False Positive
1,0.62244034,True Positive
1,0.62440825,True Positive
1,0.63739073,True Positive
0,0.59725356,False Positive
1,0.567238,True Positive
1,0.55967575,True Positive
1,0.5407088,True Positive
1,0.5442101,True Positive
1,0.5453415,True Positive
1,0.55585647,True Positive
0,0.55588204,False Positive
1,0.59357244,True Positive
1,0.6002008,True Positive
1,0.5540202,True Positive
0,0.58349174,False Positive
1,0.53300446,True Positive
